sexe;preusuel;annais;dpt;nombre
2;ALEXIE;1997;57;3
2;ALEXIE;1998;68;3
2;ALEXIE;1998;69;3
2;ALEXIE;1999;38;3
2;ALEXIE;1999;57;3
2;ALEXIE;1999;59;4
2;ALEXIE;2000;59;3
2;ALEXIE;2000;974;3
2;ALEXIE;2003;95;3
2;ALEXIE;2004;974;4
2;ALEXIE;2010;94;3
2;ALEXIE;2012;57;4
2;ALEXIE;2013;69;3
2;ALEXIE;2013;76;3
2;ALEXIE;2013;91;4
2;ALEXIE;2014;29;3
2;ALEXIE;2014;44;3
2;ALEXIE;2014;67;3
2;ALEXIE;2014;75;3
2;ALEXIE;2014;92;3
2;ALEXIE;2015;29;3
2;ALEXIE;2015;33;3
2;ALEXIE;2015;62;4
2;ALEXIE;2015;67;3
2;ALEXIE;2015;69;6
2;ALEXIE;2015;92;3
2;ALEXIE;2015;94;3
2;ALEXIE;2016;31;4
2;ALEXIE;2016;33;3
2;ALEXIE;2016;38;5
2;ALEXIE;2016;59;3
2;ALEXIE;2016;69;4
2;ALEXIE;2016;74;3
2;ALEXIE;2016;76;4
2;ALEXIE;2016;84;3
2;ALEXIE;2016;92;4
2;ALEXIE;2017;02;3
2;ALEXIE;2017;59;4
2;ALEXIE;2017;69;4
2;ALEXIE;2018;13;3
2;ALEXIE;2018;59;3
2;ALEXIE;2018;75;7
2;ALEXIE;2018;92;3
2;ALEXIE;2019;31;3
2;ALEXIE;2019;44;6
2;ALEXIE;2019;59;6
2;ALEXIE;2019;75;6
2;ALEXIE;2019;78;3
2;ALEXIE;2019;92;4
2;ALEXIE;2020;31;3
2;ALEXIE;2020;35;3
2;ALEXIE;2020;59;3
2;ALEXIE;2020;69;3
2;ALEXIE;2020;75;4
2;ALEXIE;2020;92;3
2;ALEXIE;2020;94;3
2;ALEXIE;2020;95;3
2;ALEXIE;XXXX;XX;1067
2;ALEXINA;1900;85;10
2;ALEXINA;1901;17;3
2;ALEXINA;1901;85;9
2;ALEXINA;1901;974;3
2;ALEXINA;1902;17;5
2;ALEXINA;1902;75;4
2;ALEXINA;1902;85;9
2;ALEXINA;1902;971;3
2;ALEXINA;1903;17;3
2;ALEXINA;1903;44;3
2;ALEXINA;1903;85;5
2;ALEXINA;1903;971;3
2;ALEXINA;1904;85;7
2;ALEXINA;1904;971;4
2;ALEXINA;1904;974;3
2;ALEXINA;1905;85;9
2;ALEXINA;1906;18;3
2;ALEXINA;1906;44;4
2;ALEXINA;1906;85;15
2;ALEXINA;1906;971;3
2;ALEXINA;1906;972;3
2;ALEXINA;1906;974;3
2;ALEXINA;1907;17;3
2;ALEXINA;1907;85;5
2;ALEXINA;1907;972;3
2;ALEXINA;1908;17;5
2;ALEXINA;1908;85;13
2;ALEXINA;1908;971;3
2;ALEXINA;1908;974;4
2;ALEXINA;1909;85;12
2;ALEXINA;1909;971;4
2;ALEXINA;1909;972;3
2;ALEXINA;1909;974;3
2;ALEXINA;1910;17;3
2;ALEXINA;1910;85;10
2;ALEXINA;1910;971;4
